Name
Sarah Wayne Callies
Vanessa Bell Calloway
Anna Camp
Colleen Camp
Christa Campbell
Danielle Campbell
Maia Campbell
Tisha Campbell
Maria Canals-Barrera
Dyan Cannon
Lizzy Caplan
Jessica Capshaw
Kate Capshaw
Irene Cara
Gina Carano
Linda Cardellini
Clare Carey
Mariah Carey
Lynn Carlin
Kitty Carlisle
Amy Carlson
Kelly Carlson
Jeanne Carmen
Julie Carmen
Sue Carol
Charisma Carpenter
Jennifer Carpenter
Sabrina Carpenter
Ever Carradine
Barbara Carrera
Tia Carrere
Diahann Carroll
Madeline Carroll
Nancy Carroll
Pat Carroll
Dixie Carter
Lynda Carter
Gabrielle Carteris
Angela Cartwright
Veronica Cartwright
Rosalind Cash
Peggy Cass
Joanna Cassidy
Katie Cassidy
Peggie Castle
Shanley Caswell
Phoebe Cates
Kim Cattrall
Jessica Cauffiel
Emma Caulfield
Joan Caulfield
Kristin Cavallari
Lacey Chabert
Faune Chambers
Carol Channing
Stockard Channing
Cyd Charisse
Annette Charles
Daveigh Chase
Jessica Chastain
Ruth Chatterton
Molly Cheek
Kristin Chenoweth
Cher
Vanessa Lee Chester
Lois Chiles
Anna Chlumsky
Margaret Cho
Rosalind Chao
Erika Christensen
Claudia Christian
Jamie Chung
Marguerite Churchill
Ciara
Candy Clark
Judy Clark
Melinda Clarke
Sarah Clarke
Patricia Clarkson
Jill Clayburgh
Kiersey Clemons
Colleen Clinkenbeard
Rosemary Clooney
Glenn Close
Imogene Coca
Annalisa Cochrane
Lauren Cohan
Lynn Cohen
Mindy Cohn
Claudette Colbert
Taylor Cole
Tina Cole
Holliston Coleman
Monique Coleman
Kim Coles
Patricia Collinge
Lily Collins
Lynn Collins
Holly Marie Combs
Anjanette Comer
Dorothy Comingore
Betty Compson
Michaela Conlin
Jennifer Connelly
Kristen Connolly
Carole Cook
Rachael Leigh Cook
Jennifer Coolidge
Ellen Corby
Mara Corday
Maddie Corman
Carrie Coon
Miranda Cosgrove
Dolores Costello
Stephanie Courtney
Jane Cowl
Courteney Cox
Laverne Cox
Nikki Cox
Yvonne Craig
Jeanne Crain
Barbara Crampton
Norma Crane
Joan Crawford
Cathy Lee Crosby
Denise Crosby
Mary Crosby
Marcia Cross
Lindsay Crouse
Gia Crovatin
Suzanne Cryer
Constance Cummings
Erin Cummings
Quinn Cummings
Kaley Cuoco
Jane Curtin
Jamie Lee Curtis
Ann Cusack
Joan Cusack
Tawny Cypress
Miley Cyrus

Caroline DAmore
 Beverly DAngelo
 Patti DArbanville
 Donna DErrico
 Shae Dlyn
Yaya DaCosta
Alexandra Daddario
Arlene Dahl
Irene Dailey
E. G. Daily
