Name
A. K. Hangal
Aadhi
S Sathyendra
S. J. Suryah
S. P. Balasubrahmanyam
S. P. B. Charan
S. Shankar
S. V. Ranga Rao
Saandip
Sachin Pilgaonkar
Sachin Khedekar
Sadhu Kokila
Saeed Jaffrey
Sahil Khan
Sahil Shroff
Sahil Vaid
Sai Kumar
Sai Kumar
Saif Ali Khan
Sai Dharam Tej
Sajid Khan
Sajjad Delafrooz
Saleem Kumar
Salim Khan
Salman Khan
Sameer Dattani
Samir Kochhar
Samir Soni
Sampath
Sampath Raj
Sandeep Kulkarni
Sanjay Dutt
Sanjay Kapoor
Sanjay Khan
Sanjay Mishra
Sanjay Suri
Sanjeev Bhaskar
Sanjeev Kumar
Sanjeev Tyagi
Sankaradi
Sanketh Kashi
Santhanam
Sapru
Saqib Saleem
Sarath Babu
Sarath Kumar
Sarfaraz Khan
Sarigama Viji
Sathyaraj
Sathyan Nadar
Sathyan Sivakumar
Satish Shah
Sathish Ninasam
Satyajeet Puri
Sathyajith
Saurabh Shukla
Sayaji Shinde
Sayak Chakraborty
Senthil
Shaad Randhawa
Shaam
Shaan
Shabir Ahluwalia
Shahid Kapoor
Shah Rukh Khan
Shammi Kapoor
Shani Mahadevappa
Shankar
Shankar Nag
Shanthanu Bhagyaraj
Sharad Kelkar
Sharad Talwalkar
Sharman Joshi
Sharat Saxena
Sharath Babu
Sharath Kumar
Sharath Lohitashwa
Sharman Joshi
Shashank shende
Shashi Kapoor
Shashikumar
Shatrughan Sinha
Shehzad Khan
Shekhar Suman
Shiny Ahuja
Shirish Kunder
Shivkumar Subramaniam
Shivam Patil
Shivarajkumar
Shobraj
Shreela Ghosh
Shreyas Talpade
Shriram Lagoo
Sibiraj
Siddhant Chaturvedi
Sidhant Gupta
Sidharth Malhotra
Sidharth Shukla
Siddhanta Mahapatra
Siddharth Koirala
Siddharth Narayan
Siddharth Nigam
Sikandar Kher
Silambarasan Rajendar
Sihi Kahi Chandru
Sikandar Kher
Siva Reddy
Sivaji Ganesan
Sivakarthikeyan
Sivakumar
Sobhan Babu
Sohail Khan
Soham Chakraborty
Sohrab Modi
Sonu Nigam
Sonu Sood
Sooraj Pancholi
Sreenivasan
Sri Murali
Sridhar
Srihari
Srikanth Krishnamachari
Srikanth Meka
Sriman
Srinagar Kitty
Srinath
Srinivasa Murthy
Srinivasa Reddy
Sriram Panda
Srujan Lokesh
Subbaraju
Subbaraya Sharma
Subrat Dutta
Suchindra Bali
Sudeepa
Sudheer
Subodh Bhave
Sudheer Babu
Sudhir Dalvi
Sujan Mukhopadhyay
Sukumaran
Suman Setty
Suman Talwar
Sumanth
Sumeet Raghavan
Sundar Krishna Urs
Sundar Raj
Sundeep Kishan
Suneil Anand
Sunil
Sunil Dutt
Sunil Grover
Sunil Raoh
Sunil Shetty
Sunil Varma
Sunny Deol
Sunny Gill
Sunny Singh
Suresh
Suresh Gopi
Suresh Heblikar
Suresh Joachim
Suresh Menon
Suresh Oberoi
Surya Sivakumar
Suryakant Mandhare
Sushant Singh Rajput
Sushanth
Suthivelu
Sutti Veerabhadra Rao
Swwapnil Joshi
Tabla Nani
Taher Shabbir
Tahir Raj Bhasin
Tanay Chheda
Tanikella Bharani
Tapas Paul
Taraka Ratna
Tarun Arora
Tarun Chandra
Tarun Kumar
Tathagata Mukherjee
Thagubothu Ramesh
Thikkurissy Sukumaran Nair
Thilakan
Tharani
Thalaivasal Vijay
Tiger Shroff
Tinnu Anand
Tiku Talsania
Tigmanshu Dhulia
Tom Alter
Tottempudi Gopichand
Tusshar Kapoor
Tushar Pandey
Uday Chopra
Uday Kiran
Udaykumar
Unni Mukundan
Upen Patel
Upendra
Upendra Limaye
Utpal Dutt
Uttam Kumar
Uttam Mohanty
C. R. Simha
Chandra Mohan (Hindi actor)
Chandra Mohan (Telugu actor)
Chandrachur Singh
Chandrashekhar (actor)
Charan Raj
Charlie
Charu Haasan
Chetan Chandra
Chetan Kumar
Chhabi Biswas
Chi. Guru Dutt
Chinni Jayanth
Chikkanna
Chiranjeevi Konidala
Chiranjeevi Sarja
Chunky Pandey
Crazy Mohan
Cyrus Broacha
Cyrus Sahukar
Vadivelu
Vajramuni
Varun Dhawan
Varun Kapoor
Varun Tej
Varun Sandesh
Varun Sharma
Veeru Devgan
Venkatesh
Vennela Kishore
Venu Madhav
Vicky Kaushal
Vidharth
Vidyut Jammwal
Vijay Arora
Vijay Chandrasekhar
Vijay Deverakonda
Vijay Duniya
Vijay Raaz
Vijay Raghavendra
Vijay Sethupathi
Vijayakanth
Vijayakumar
Vijayaraghavan
Vijay Antony
Vijay Kashi
Vijay Varma
Vikas Kalantri
Vikas Sethi
Vikram Gokhale
Vikram Kennedy
Vikram Prabhu
Vikram Singh Chauhan
Vikrant Massey
Vikranth
Vimal
Vinay Apte
Vinay Pathak
Vinay Rai
Vinayak Joshi
Vindu Dara Singh
Vineeth
Vineet Kumar
Vineeth Sreenivasan
Vinod Khanna
Vinod Mehra
Vipin Sharma
Vir Das
Vishal Jethwa
Vishal Krishna
Vishal Karwal
Vishnu Manchu
Vishnu Vishal
Vishnuvardhan
Vivaan Shah
Vivek
Vivek Oberoi
Vivek Mushran
Vrajesh Hirjee
VTV Ganesh
Yash
Yash Dasgupta
Yash Pandit
Yashpal Sharma
Yash Tandon
Yash Tonk
Yatin Karyekar
Yogesh
Yugendran
Yugi Sethu
Zayed Khan
Mohammed Zeeshan Ayub Khan
