Name
Rajini
Rani Mukerji
Ramya
Ramya Barna
Ramya Krishnan
Ramya Sri
Ramya Nambaseean
Rashi Khanna
Rashi Mal
Rashmi
Rashmi Desai
Rashmi Gautam
Rashmika Mandanna
Ratan Rajput
Rati Agnihotri
Rati Pandey
Ratna Pathak Shah
Raveena Tandon
Reena Roy
Reema Lagoo
Reema Sen
Regina Cassandra
Rekha
Rekha
Rekha Das
Rekha Rana
Rekha Vedavyas
Reenu Mathews
Renuka Menon
Renukamma Murugodu
Renuka Shahane
Revathi
Rhea Chakraborty
Richa Ahuja
Richa Chaddha
Richa Gangopadhyay
Richa Pallod
Richa Panai
Richa Sharma
Ridhi Dogra
Rima Kallingal
Rimi Sen
Rimi Tomy
Rinke Khanna
Rinku Rajguru
Rita Bhaduri
Ritika Singh
Rituparna Sengupta
Riya Sen
Rohini Hattangadi
Rohini
Roja
Roja Ramani
Roma
Roopa Ganguly
Roopa Iyer
Roshni Chopra
R.T. Rama
Ruby Parihar
Rucha Gujarathi
Rupini
Ranjana Deshmukh
Sabitri Chatterjee
Saba Qamar
Saba Azad
Shivaleeka Oberoi
Sobhita Dhulipala
S. Varalakshmi
Sadha
Sadhana Shivdasani
Sagarika Ghatge
Sagarika Mukherjee
Sajal Aly
Sana Althaf
Sana Makbul
Sandhya
Sai Lokur
Saiyami Kher
Samskruthy Shenoy
Samyuktha Hegde
Sandeepa Dhar
Sandhya
Sandhya Mridul
Sandhya Roy
Sanaya Irani
Sanya Malhotra
Saniya Anklesaria
Sanjeeda Sheikh
Sakshi Shivanand
Sakshi Tanwar
Sai Pallavi
Sai Tamhankar
Saira Banu
Salma Agha
Saloni Aswani
Samantha Ruth Prabhu
Samiksha
Sameera Reddy
Samvrutha Sunil
Sana Amin Sheikh
Sana Khan
Sana Saeed
Sanchita Padukone
Sandeepa Dhar
Sangeeta Bijlani
Sandra Amy
Sanober Kabir
Sandali Sinha
Sanghavi
Sanjjanaa
Pooja Gandhi
Santoshi
Sara Ali Khan
Sarah Jane Dias
Sara Loren
Saranya Mohan
Saranya Ponvannan
Sarayu (actress)
Sarika
Saritha
Saroja Devi
Satarupa Pyne
Sathyabhama
Saumya Tandon
Savitri
Sayali Bhagat
Sayani Gupta
Sayyeshaa Saigal
Seerat Kapoor
Seema Biswas
Seema Pahwa
Seema Shinde
Seetha
Shabana Azmi
Shalini
Shamili
Shahana Goswami
Sakshi Tanwar
Sharmila Mandre
Sharmilee
Shibani Dandekar
Shreya Narayan
Shakeela
Shalini Pandey
Shamita Shetty
Shanthamma
Shantipriya
Sharmila Tagore
Shashikala
Shazahn Padamsee
Sheeba Chadha
Sheela
Sheela
Sheena Bajaj
Sheena Chohan
Sheena Shahabadi
Shenaz Treasurywala
Sherin
Sherlyn Chopra
Shilpa Shetty
Shilpa Shukla
Shilpa Shirodkar
Shilpa Tulaskar
Shilpa Anand
Shilpi Sharma
Shivani Raghuvanshi
Shivangi Khedkar
Shivangi Joshi
Shreya Dhanwanthary
Shruti Naidu
Shylaja Nag
Shweta Basu Prasad
Shweta Bhardwaj
Shweta Menon
Shweta Gulati
Shweta Tiwari
Shweta Tripathi
Shobhana
Shobhna Samarth
Shraddha Arya
Shraddha Das
Shraddha Kapoor
Shraddha Srinath
Shruthi Haasan
Shruti Sodhi
Shruti
Shruti Seth
Shruti Sharma
Shritha Sivadas
Shriya Saran
Shriya Pilgaonkar
Shriya Sharma
Shubha Poonja
Shubha Khote
Shyama
Shylashri
Sihi Kahi Geetha
Sija Rose
Simi Garewal
Simone Singh
Simple Kapadia
Simple Kaur
Simran Mundi
Simran Bagga
Sindhu
Sindhu Tolani
Sindhu Menon
Silk Smitha
Sithara
Smita Patil
Smriti Irani
Smriti Kalra
Sneha Ullal
Sneha
Snigdha Akolkar
Soha Ali Khan
Sonakshi Sinha
Sonali Bendre
Sonali Kulkarni
Sonali Raut
Sonalee Kulkarni
Sonal Chauhan
Sonam (actress)
Sonam Bajwa
Sonam Kapoor
Sonalika Joshi
Sonarika Bhadoria
Sonia Agarwal
Sonnalli Seygall
Sonu
Sonu Walia
Sophia Chaudhary
Soundarya
Sowcar Janaki
Spruha Joshi
Srabanti Chatterjee
Sridevi
Sriti Jha
Sri Divya
Srividya
Sripriya
Subbulakshmi
Subhashri
Suchitra
Suchitra Krishnamurthy
Suchitra Pillai
Suchitra Sen
Sunitha
Sudha Belawadi
Sudha Chandran
Sudha Rani
Sudha Narasimharaju
Sudipta Chakraborty
Suhasi Goradia Dhami
Suhasini
Sujatha
Sukirti Kandpal
Sukumari
Sulakshana Pandit
Sulochana Devi
Sulochana Latkar
Sumalatha
Suman Nagarkar
Suman Ranganathan
Sumithra
Sumitra Devi
Sunaina
Sunny Leone
Surbhi Chandna
Surbhi Jyoti
Supriya Devi
Supriya Pathak
Supriya Pilgaonkar
Supriya Shukla
Suraiya
Surveen Chawla
Suryakantham
