subcat1,name,height, gender
Actor,Omar Epps,177.8,M
Actor,Maurice Evans,177.8,M
Actor,Angie Everhart,177.8,F
Actor,Michael Fairman,177.8,M
Actor,Colin Farrell,177.8,M
Actor,Jose Ferrer,177.8,M
Actor,Veronica Ferres,177.8,F
Actor,Albert Finney,177.8,M
Actor,Louise Fletcher,177.8,F
Actor,Caleb Followill,177.8,M
Actor,Robert Foxworth,177.8,M
Actor,Rainbow Francks,177.8,F
Actor,Dennis Franz,177.8,M
Actor,Lindsay Frost,177.8,F
Actor,David Gallagher,177.8,M
Actor,Liam Gallagher,177.8,M
Actor,Bill Gates,177.8,M
Actor,Nona Gaye,177.8,F
Actor,Ben Gazzara,177.8,M
Actor,Richard Gere,177.8,M
Actor,Greg Germann,177.8,M
Actor,Rebecca Gilling,177.8,F
Actor,Jackie Gleason,177.8,F
Actor,Ricky Paul Goldin,177.8,M
Actor,Cuba Gooding Jr,177.8,M
Actor,Delta Goodrem,177.8,F
Actor,Gary Graham,177.8,M
Actor,Graham Greene,177.8,M
Actor,Joel Gretsch,177.8,M
Actor,Josh Groban,177.8,M
Actor,Michael C Hall,177.8,M
Actor,Rebecca Hall,177.8,F
Actor,Daryl Hannah,177.8,M
Actor,John Hannah,177.8,M
Actor,Nigel Harman,177.8,M
Singer,George Harrison,177.8,M
Singer,Phil Hartman,177.8,M
Singer,Darren Hayes,177.8,M
Singer,Rachel Hayward,177.8,F
Singer,Tricia Helfer,177.8,F
Singer,Jimi Hendrix,177.8,M
Singer,Siobhan Hewlett,177.8,F
Singer,Dule Hill,177.8,F
Singer,Gregory Hines,177.8,M
Singer,Brooke Hogan,177.8,F
Singer,Sandrine Holt,177.8,F
Singer,Roger Howarth,177.8,M
Singer,C. Thomas Howell,177.8,M
Singer,Geoffrey Hughes,177.8,M
Singer,Michael Hutchence,177.8,M
Singer,Derek Jacobi,177.8,M
Singer,Mick Jagger,177.8,M
Singer,Thomas Jane,177.8,M
Singer,Takeshi Kaneshiro,177.8,M
Singer,Nicky Katt,177.8,F
Singer,Penelope Keith,177.8,F
Singer,Jim Kerr,177.8,M
Singer,Patrick Kielty,177.8,M
Singer,Fran Kranz,177.8,F
Singer,Brian Krause,177.8,M
Singer,Carson Kressley,177.8,F
Singer,Rob Labelle,177.8,M
Singer,Christine Lahti,177.8,F
Singer,Christopher Lambert,177.8,M
Singer,Anthony LaPaglia,177.8,M
Singer,Laurence Lau,177.8,F
Singer,Lucy Lawless,177.8,F
Singer,Geddy Lee,177.8,F
Singer,Allen Leech,177.8,M
Singer,Katrina Leskanich,177.8,F
Model,Adriana Lima,177.8,F
Actor,Andrew Lincoln,177.8,M
Actor,John Linnell,177.8,M
Actor,Donal Logue,177.8,M
Actor,Jason London,177.8,M
Actor,George Lopez,177.8,M
Actor,Rob Lowe,177.8,M
Actor,Shauna Lowry,177.8,F
Actor,Eric Mabius,177.8,M
Actor,Angus MacFadyen,177.8,M
Actor,Seth MacFarlane,177.8,M
Actor,Roma Maffia,177.8,F
Actor,James Marsden,177.8,M
Actor,A Martinez,177.8,M
Actor,Tom McCamus,177.8,M
Actor,Eric McCormack,177.8,M
Actor,Kelly McGillis,177.8,F
Actor,Neve McIntosh,177.8,F
Actor,Pollyanna McIntosh,177.8,F
Actor,Kevin McNally,177.8,M
Actor,Steve McQueen,177.8,M
Actor,Jonny Lee Miller,177.8,M
Actor,Scott Mills,177.8,M
Actor,Dryden Mitchell,177.8,M
Actor,Nick Moran,177.8,M
Actor,Connie Nielsen,177.8,F
Actor,Michael Nyqvist,177.8,M
Actor,Dylan O'Brien,177.8,M
Actor,Peter O'Brien,177.8,M
Actor,David O'Hara,177.8,M
Actor,Mike O'Malley,177.8,M
Actor,Sir Laurence Olivier,177.8,M
Actor,Stacey Oristano,177.8,F
Actor,Shalim Ortiz,177.8,F
Actor,David Oyelowo,177.8,M
Actor,Geoffrey Palmer,177.8,M
Actor,Andrea Parker,177.8,F
Actor,Michael Parkinson,177.8,M
Actor,Adrian Pasdar,177.8,M
Actor,Vincent Pastore,177.8,M
Actor,Robert Pastorelli,177.8,M
Actor,Will Patton,177.8,M
Actor,Alexandra Paul,177.8,F
Actor,Barry Pepper,177.8,M
Actor,Harold Perrineau,177.8,M
Actor,Pat Petersen,177.8,F
Actor,Jo Ann Pflug,177.8,F
Actor,River Phoenix,177.8,M
Actor,Christopher Plummer,177.8,M
